
prvtcs, 1, 44, 2, 3, 8, 0
prvtcsw, 1, 31, 2, 2, 6, 0
prvterr, 1, 22, 2, 1, 5, 0
prvtfeature, 2, 60, 2, 2, 10, 0
prvtgdal, 1, 42, 2, 2, 8, 0
prvtgeom, 2, 29, 1, 1, 6, 0
prvtgmd, 7, 206, 6, 3, 40, 1
prvtgrag, 1, 25, 1, 1, 5, 0
prvtgra, 1, 25, 1, 1, 5, 0
prvtgrih, 4, 124, 3, 0, 23, 0
prvtgri, 1, 49, 5, 5, 8, 0
prvtgrip, 1, 25, 1, 1, 5, 0
prvtgrlt, 1, 39, 2, 1, 8, 0
prvtgr, 1, 25, 1, 1, 5, 0
prvtgrra, 1, 25, 1, 1, 5, 0
prvtgrs, 12, 303, 0, 0, 48, 1
prvtgru, 1, 25, 1, 1, 5, 0
prvtgrxb, 0, 17, 1, 1, 4, 0
prvtgrxh, 0, 22, 1, 0, 4, 0
prvtimd, 15, 449, 0, 0, 76, 3
prvtlrsb, 0, 31, 2, 3, 5, 0
prvtlrsh, 0, 13, 1, 0, 3, 0
prvtmd1, 0, 18, 2, 1, 4, 0
prvtmd2, 0, 22, 2, 1, 5, 0
prvtmd, 0, 30, 2, 1, 6, 0
prvtmem, 1, 27, 2, 1, 6, 0
prvtmig, 1, 35, 2, 3, 6, 0
prvtnetb, 0, 25, 2, 3, 4, 0
prvtneth, 0, 13, 1, 0, 3, 0
prvtnfeb, 0, 20, 2, 3, 3, 0
prvtnfeh, 0, 13, 1, 0, 3, 0
prvtoper, 31, 843, 0, 0, 124, 1
prvtpc, 1, 79, 5, 4, 7, 0
prvtpidx, 1, 33, 1, 1, 8, 1
prvtpip, 1, 57, 0, 2, 8, 0
prvtprdx, 5, 82, 3, 1, 16, 0
prvtptyp, 0, 19, 0, 3, 3, 0
prvtrdfctx, 0, 220, 13, 31, 21, 0
prvtrdfwm, 0, 51, 3, 2, 5, 0
prvtrtr, 7, 205, 7, 7, 41, 3
prvtsam, 4, 145, 7, 8, 21, 0
prvtsdo, 2, 33, 2, 3, 6, 0
prvtsidx, 1, 89, 6, 4, 20, 2
prvtsipt, 9, 89, 0, 0, 21, 0
prvtsrid, 1, 40, 2, 2, 8, 0
prvttin, 1, 35, 3, 2, 7, 0
prvttmd, 5, 132, 4, 2, 23, 0
prvttnpc, 1, 64, 6, 4, 8, 0
prvttpop, 0, 703, 0, 0, 117, 0
prvttune, 3, 46, 1, 1, 9, 0
prvtwsog, 1, 17, 1, 1, 4, 0
prvtwsom, 1, 17, 1, 1, 4, 0
prvtwso, 1, 105, 1, 1, 24, 1
prvtwsor, 1, 17, 1, 1, 4, 0
prvtwsoy, 1, 17, 1, 1, 4, 0
prvtwss, 0, 16, 1, 1, 3, 0
pvtrdfsa, 0, 190, 20, 23, 20, 0
relate, 1, 56, 0, 0, 11, 2
sdoadmin, 0, 13, 1, 0, 3, 0
sdoaggrb, 19, 305, 10, 24, 52, 0
sdoaggrh, 1, 141, 0, 0, 22, 0
sdocat, 6, 142, 1, 0, 24, 3
sdocmprg, 0, 60, 4, 4, 9, 0
