bug_32124176_apply,0.374
bug_32218552_apply,0.355
prvtbsdp,0.350
dbmsappcon,0.378
bug31374373,0.437
prvtappcon,0.351
bug_32190284_apply,0.353
bug_30310195_apply,0.359
prvtxdz0,0.386
prvtxdbz,0.430
bug_32252294_apply,0.358
bug_32355765_apply,0.350
dbmsedu2,0.348
utlrcmp2,0.342
prvtrctv2,0.638
prvtrcmp2,0.339
prvtedu2,0.347
bug_32603152_postapply,0.442
bug_17777718_apply,0.798
owmutls,0.352
owmutlb,0.363
bug_32438777_apply,3.689
bug31115653_postapply,0.438
32385068_apply,1.063
prvtlmsb,0.346
bug_32003908_apply,0.340
cdhcs,14.883
dbmshier,0.364
prvthier,0.344
bug_31926848_apply,0.424
bug_33109335_apply,0.356
bug_32583355_apply,0.909
catggshard,0.362
bug_32610271_apply,0.345
dbmsstr,0.813
dbmsatsk,0.388
dbmsawr,0.375
dbmschnf,0.346
dbmsfus,0.353
dbmsidxu,0.362
dbmsmb,0.353
dbmsmntr,0.357
dbmspspi,0.356
dbmsres,0.368
dbmsslrt,0.676
dbmsslxp,0.358
dbmstran,0.377
dbmstxin,0.386
dbmsuadv,0.392
dbmsumf,0.359
prvthidx,0.341
prvtpstdy,0.354
prvthcmp,0.338
prvthfgr,0.344
prvthfie,0.353
prvthitr,0.349
prvsfus,0.339
prvsfusc,0.340
prvtfus,0.352
prvtpspi,0.383
prvtuadv,0.346
prvthlrt,0.339
dbmssrv,0.396
prvtxplni,0.339
bug_32952285_apply,1.108
bug_33253504_apply,0.912
sdocs,1.975
29201539_apply,0.379
32131774_apply,0.777
epsgsrids32987004,0.845
bug_31639082_apply,0.374
prvtesch,0.387
bug_32440681_apply,0.352
catqos,0.688
prvtwlm,0.348
bug_29931230_apply,0.408
prvtrmin,0.355
prvtcsx,0.448
bug_32567612_apply,0.387
dbmsplts,1.120
bug_31113455_apply,0.371
owmltb,0.370
owmvpkgb,0.359
prvtsqtk,0.544
owmvpkgs,0.386
prvtgra,0.886
prvtgru,0.874
bug_29524043_apply,0.379
bug_29887840_apply,0.399
bug_30518114_apply,0.365
bug32506809_apply,0.933
bug-33344767_apply,0.528
cathive1,2.126
sdordfty,3.152
catmdlocj,39.219
dbmssts,0.367
prvthsmt,0.356
prvthssm,0.352
prvthsrp,0.391
prvthsts,0.380
bug_32012400_apply,0.375
prvtadv,0.365
bug_32258388_apply,0.394
prvthxstr,0.396
catmacc,4.391
bug_32926653_apply,0.363
catcap,5.603
prvtpq,0.361
sdogeom,0.402
bug_30865346_apply,0.537
bug_33648273_apply,0.366
bug34113189,0.353
prvtrmie,0.346
prvtrmpe,0.348
prvtrmge,0.347
prvtrmpa,0.346
bug_33270914_apply,0.451
bug_33313374_apply,0.359
catcheckviews,0.563
33955060_apply,0.537
prvtrtr,1.223
bug_34090927_apply,0.430
catschv,7.796
prvthesh,0.456
bug_28971177_apply,0.363
bug_32880490_apply,0.352
prvtsqlf,0.532
bug_33527739_apply,0.338
bug32425205_apply,2.276
sdoepsgsrid32777,0.372
sdoogcsrid9932775,13.497
sdoepsgdatum6289,0.419
bug_33513494_apply,0.370
catmacd,4.046
catnotifications,0.402
catnotificationsv,0.401
dbmsnotifications,0.359
prvtnotifications,0.356
catlmnr_mig,0.371
bug_29356306_apply,0.450
dbmstsdpm,0.364
epsgsrid8311,10.446
prvtcr,0.351
bug_32634996_apply,0.356
bug_33759204_apply,0.360
dbmsfs,0.365
bug_33942581_apply,0.350
objnum_reuse_apply_script,0.359
dbmscr,0.812
dbmscrs,0.342
bug_35012866_apply,0.398
prvtmb,0.340
sdo_postapply,34.872
srid1005714,39.241
bug_34496630_apply,0.352
bug_35170600_apply,0.345
dbmsinmemadvisor,0.359
prvtinmemadvisor,0.363
bug_32378953_apply,0.417
