execschlb,49,1,0,1,1,0,3
prvtsodadml,51,0,0,1,3,0,0
prvtsodadom,51,0,0,1,26,0,0
prvtsodapls,51,0,0,1,1,0,0
prvtsodautil,52,2,0,1,18,0,0
prvtpckl,48,1,1,1,15,0,0
prvtkzrxh,49,2,0,1,2,0,0
prvsemxi,48,0,0,1,0,0,0
prvsawri,48,0,0,1,0,0,4
prvthcap,48,1,0,1,0,0,0
prvtlmd,47,6,0,1,478,0,178
prvsspai,48,0,0,1,0,0,1
prvtbcap,48,0,0,1,82,2,1
prvtblut,48,0,0,1,64,0,3
prvtemx_dbhome,54,1,0,1,161,0,0
prvtemx_cell,52,0,0,1,485,0,27
prvtjob,47,1,0,1,4,0,0
prvtlmcb,48,6,0,1,320,0,0
prvtplts,48,0,0,1,129,0,0
prvtawri,48,1,0,1,107,0,17
prvtumfi,48,1,0,1,7,0,16
could  not find MAIN: /ade/jorgdiaz_ds19/emdb/test/src/tvmd/tvmdm/tvmdmd/tvmdmdi/prvtspai.sql
prvtdst,47,0,0,1,14,0,13
prvtcmpr,48,1,0,1,111,0,18
prvtsqlq,48,0,0,1,0,0,0
could  not find MAIN: /ade/jorgdiaz_ds19/rdbms/src/server/blockchain/prvtbctab.sql
could  not find MAIN: /ade/jorgdiaz_ds19/rdbms/src/server/blockchain/prvttbdat.sql
could  not find MAIN: /ade/jorgdiaz_ds19/rdbms/src/server/blockchain/prvtcert.sql
sdotopob,191650,8,0,1,194,568,0
prvtgwmut,49,15,16,1,128,0,10
prvtgwmcl,49,3,1,1,120,0,0
prvtbord,48,5,0,1,143,2,0
prvtsmb,47,0,0,1,9,0,4
prvtgrih,117560,4,1,1,0,676,0
execrsa,47,0,0,1,1,0,1
sdolrsb,323285,1,0,1,19,1414,0
prvtmaintplan,53,0,0,1,28,0,0
prvtbapp,48,0,0,1,102,0,0
prvtbstr,48,298,140,1,333,0,3
prvtbxstr,49,948,503,1,1246,0,0
prvthstr,48,2,0,1,0,0,0
could  not find MAIN: /ade/jorgdiaz_ds19/emdb/test/src/tvmd/tvmdm/tvmdmd/tvmdmdi/prvtsqli.sql
prvtbsdp,48,0,0,1,8,0,1
prvtappcon,50,0,0,1,0,0,0
prvtxdz0,48,4,0,1,10,0,0
prvtxdbz,48,1,0,1,25,0,0
prvtrctv2,49,0,0,1,17,0,0
prvtrcmp2,49,0,0,1,43,0,1
prvtedu2,48,0,0,1,0,0,0
prvtlmsb,48,0,0,1,51,0,7
prvthier,22,0,0,0,6,0,0
prvthidx,48,0,0,1,0,0,0
prvtpstdy,49,1,0,1,7,0,0
prvthcmp,48,0,0,1,0,0,0
prvthfgr,48,0,0,1,0,0,6
prvthfie,48,4,0,1,0,0,0
prvthitr,48,1,0,1,0,0,0
prvsfus,47,0,0,1,5,0,0
prvsfusc,48,0,0,1,0,0,0
prvtfus,47,0,0,1,19,0,0
prvtpspi,48,2,0,1,68,0,0
prvtuadv,48,0,0,1,14,0,0
prvthlrt,48,0,0,1,0,0,0
prvtxplni,49,0,0,1,23,0,0
prvtesch,48,2,0,1,46,0,0
prvtwlm,47,0,0,1,39,0,0
prvtrmin,48,4,0,1,96,0,43
prvtcsx,47,2,0,1,56,0,0
prvtsqtk,48,1,0,1,38,0,0
prvtgra,80824,1,0,1,87,134,0
prvtgru,97254,1,0,1,48,118,0
prvthsmt,48,1,0,1,0,0,0
prvthssm,48,1,0,1,0,0,0
prvthsrp,48,2,0,1,0,0,0
prvthsts,48,0,0,1,0,0,0
prvtadv,47,0,0,1,131,0,4
prvthxstr,49,6,0,1,7,0,0
prvtpq,46,0,0,1,1,0,0
prvtrmie,48,0,0,1,3,0,1
