,time,size,grants,revokes,subcalls,gvs,mds,loads
313,0.344,22,0,0,1,0,0,6
314,0.353,22,4,0,1,0,0,0
315,0.349,22,1,0,1,0,0,0
316,0.339,21,0,0,1,5,0,0
317,0.34,22,0,0,1,0,0,0
318,0.352,21,0,0,1,19,0,0
319,0.383,22,2,0,1,68,0,0
320,0.346,22,0,0,1,14,0,0
321,0.339,22,0,0,1,0,0,0
322,0.396,39430,2,0,1,1,0,0
323,0.339,23,0,0,1,23,0,0
324,1.108,11673,20,0,1,10,0,0
325,0.912,1423,0,0,1,2,0,0
326,1.975,44684,6,0,1,2,130,1
327,0.379,1654,0,0,1,0,4,0
328,0.777,1908,0,0,1,0,4,0
329,0.845,53359,1,1,0,32,100,0
330,0.374,1823,0,0,1,1,0,0
331,0.387,22,2,0,1,46,0,0
332,0.352,1573,0,0,1,1,0,0
333,0.688,7682,26,1,1,21,0,0
334,0.348,21,0,0,1,39,0,0
335,0.408,4049,0,0,1,1,0,0
336,0.355,22,4,0,1,96,0,43
337,0.448,21,2,0,1,56,0,0
338,0.387,2972,0,0,1,2,0,0
339,1.12,64210,9,0,1,3,0,0
340,0.371,2585,0,0,1,2,0,0
341,0.544,22,1,0,1,38,0,0
342,0.886,80798,1,0,1,87,134,0
343,0.874,97228,1,0,1,48,118,0
344,0.379,3294,0,0,1,1,0,0
345,0.399,8353,0,0,1,9,0,0
346,0.365,3146,0,0,1,1,0,0
347,0.933,3820,0,0,1,5,0,0
348,0.528,1027,0,0,1,0,0,0
349,2.126,40602,24,0,1,57,0,0
350,3.152,76258,7,0,1,3,61,0
351,0.367,7532,1,0,1,0,0,0
352,0.356,22,1,0,1,0,0,0
353,0.352,22,1,0,1,0,0,0
354,0.391,22,2,0,1,0,0,0
355,0.38,22,0,0,1,0,0,0
356,0.375,2576,0,0,1,3,0,0
357,0.365,21,0,0,1,131,0,4
358,0.394,3352,0,0,1,3,0,0
359,0.396,23,6,0,1,7,0,0
360,4.391,214107,0,0,1,318,0,0
361,0.363,4623,0,0,1,16,0,0
362,5.603,105854,51,0,1,97,2,0
363,0.361,20,0,0,1,1,0,0
364,0.402,87849,0,1,1,0,209,0
365,0.537,2767,0,0,1,2,0,0
366,0.366,2223,0,0,1,2,0,0
367,0.353,952,0,1,1,0,0,0
368,0.346,22,0,0,1,3,0,1
369,0.348,22,0,0,1,0,0,0
370,0.347,22,0,0,1,0,0,0
371,0.346,22,0,0,1,1,0,0
372,0.451,1514,0,0,1,1,0,0
373,0.359,1628,0,0,1,1,0,0
374,0.563,16387,6,0,1,17,0,0
375,0.537,4109,1,0,1,1,4,0
376,1.223,42449,6,3,1,3,43,0
377,0.43,1678,0,0,1,1,0,0
378,7.796,345595,142,0,1,366,0,0
379,0.456,22,12,0,1,0,0,0
380,0.363,1350,0,0,1,1,0,0
381,0.352,3643,0,0,1,1,0,0
382,0.532,22,0,0,1,12,0,0
383,0.338,1129,0,0,1,0,0,0
384,2.276,1293,1,0,1,2,2,1
385,0.372,2295,1,1,0,0,4,0
386,13.497,12237,1,1,0,18,31,0
387,0.419,1693,1,1,0,1,6,0
388,0.37,2892,0,0,1,2,0,0
389,4.046,319296,0,0,1,69,4,3
390,0.402,4492,2,0,1,0,0,0
391,0.401,8087,5,0,1,8,0,0
392,0.359,16130,1,0,1,0,0,0
393,0.371,16532,0,0,1,40,0,0
394,0.45,1488,0,0,1,1,0,0
395,0.364,9736,2,0,1,1,0,0
396,10.446,5770,1,1,0,9,17,0
397,0.351,20,1,0,1,93,0,44
398,0.356,1290,1,0,1,1,0,0
399,0.36,1498,0,0,1,2,0,0
400,0.365,7947,1,0,1,0,0,0
401,0.35,3310,0,0,1,1,0,0
402,0.359,1323,0,0,2,0,0,0
403,0.812,32950,25,0,4,37,0,8
404,0.342,1990,0,0,1,0,0,0
405,0.398,1622,0,0,1,2,0,0
406,0.34,20,0,0,1,1,0,10
407,34.872,946,0,0,2,0,1,0
408,39.241,17509,1,1,0,27,47,0
409,0.352,1625,0,0,1,1,0,0
410,0.345,1128,0,0,1,1,0,0
411,0.359,4568,1,0,1,0,0,3
412,0.363,30,1,0,1,27,5,15
413,0.417,6735,0,0,1,6,0,2
