,0,1,2,3,category
254,prvtkzrxh,0.39900803565979,3565,CATPROC,0
255,prvsemxi,0.371898889541626,1319,CATPROC,0
256,dbmsperf,0.377687215805054,19295,CATPROC,0
257,prvsawri,0.36943507194519,2931,CATPROC,0
258,prvthcap,0.374250888824463,4554,CATPROC,0
259,dbmscert,0.395453929901123,1274,CATPROC,0
260,dbmsbctab,0.429094791412354,4875,CATPROC,0
261,dbmstbdat,0.712126970291138,1724,CATPROC,0
262,catplug,0.843853950500488,36178,CATPROC,0
263,prvtlmd,0.545226097106934,123498,CATPROC,0
264,prvsspai,0.364454030990601,1470,CATPROC,0
265,prvtbcap,0.3926100730896,34653,CATPROC,0
266,prvtblut,0.383722066879272,24527,CATPROC,0
267,prvtemx_dbhome,0.50022292137146,39450,CATPROC,0
268,prvtemx_cell,0.376127004623413,142571,CATPROC,3
269,prvtjob,0.397660970687866,5826,CATPROC,0
270,prvtlmcb,2.1617259979248,82699,CATPROC,0
271,prvtplts,0.39985179901123,40123,CATPROC,1
272,prvtawri,0.385795116424561,33290,CATPROC,0
273,prvtumfi,0.38652491569519,9843,CATPROC,0
274,prvtspai,0.379103899002075,37192,CATPROC,0
275,prvtdst,0.37090802192688,8592,CATPROC,0
276,prvtcmpr,0.402508020401001,27738,CATPROC,0
277,prvtsqlq,0.368997097015381,1499,CATPROC,0
278,prvtbctab,0.553031921386719,10021,CATPROC,0
279,prvttbdat,0.423460960388184,3167,CATPROC,0
280,prvtcert,0.374393939971924,603,CATPROC,0
281,execemx,1.43011903762817,1745,CATPROC,0
282,catgwmcat,3.04892802238464,71508,CATPROC,0
283,bug_31145804_apply,0.360907077789307,1450,CATPROC,1
284,drirepz,0.388389110565186,4100,CONTEXT,0
285,drisgp,0.464318990707397,26512,CONTEXT,0
286,bug_31011361_apply,0.437775135040283,6114,DV,0
287,sdotopob,0.482320070266724,31562,SDO,0
288,sdonetmd,3.40472984313965,86275,SDO,0
289,prvtgwmut,1.39644694328308,25155,XDB,1
290,prvtgwmcl,0.972851991653442,22215,XDB,0
291,bug31092921_rollback,0.346916913986206,1009,XOQ,0
292,bug_31942136_apply,0.492985963821411,3173,CATALOG,0
293,cataudit,3.64249801635742,158320,CATALOG,3
294,execai,0.41637110710144,799,CATALOG,1
