,grants,size,packages,alters,commands,commits,time,md
1577,0,12,0,0,3,0,2.33,0
1580,0,8,0,0,2,0,6.275,0
1581,0,104,3,3,21,0,66.216,0
1585,90,3170,1,0,687,0,3.192,0
1636,0,31,0,0,0,0,2.332,0
1639,0,27,0,0,0,0,2.023,0
1652,22,540,0,0,111,0,4.408,0
1664,0,19,0,0,3,0,22.668,0
1674,0,315,0,0,31,0,2.126,0
1686,0,138,0,0,29,6,12.345,0
1688,0,75,0,0,17,4,41.582,0
1702,0,8,0,0,1,0,2.088,0
1711,1,82,0,0,7,0,4.251,0
1725,0,90,3,3,24,0,8.695,0
1726,0,5,0,0,1,0,3.896,0
1738,0,68,1,1,9,0,4.504,0
1747,66,10951,115,20,524,114,26.655,0
1748,58,7769,122,22,386,95,5.556,0
1763,0,4466,24,6,200,89,5.704,0
1764,0,2410,20,4,137,74,3.13,0
1771,478,32642,388,184,1300,38,45.02,0
1772,258,19885,204,148,682,16,9.861,0
1774,258,19949,205,149,686,16,7.473,0
1783,68,1472,19,8,286,8,12.274,0
1784,45,1051,16,7,198,4,5.751,0
1785,40,760,10,3,151,3,2.634,0
1791,0,484,0,0,43,0,7.764,0
1810,0,181,1,0,31,0,2.713,0
1822,87,1582,46,52,257,0,4.762,0
1831,14,2233,52,20,172,2,2.294,0
1840,19,2468,39,9,210,5,2.227,0
1841,8,2177,39,9,165,5,2.352,0
