dbmsslrt,48,3,0,1,0,0,0
dbmsslxp,48,1,0,1,0,0,0
dbmstran,48,4,0,1,0,0,0
dbmstxin,48,2,0,1,0,0,0
dbmsuadv,48,4,0,1,0,0,7
dbmsumf,47,1,0,1,0,0,0
dbmssrv,47,2,0,1,1,0,0
bug_32952285_apply,58,20,0,1,10,0,0
bug_33253504_apply,58,0,0,1,2,0,0
sdocs,44710,6,0,1,2,130,1
29201539_apply,1680,0,0,1,0,4,0
32131774_apply,1934,0,0,1,0,4,0
epsgsrids32987004,53359,1,1,0,32,100,0
bug_31639082_apply,58,0,0,1,1,0,0
bug_32440681_apply,58,0,0,1,1,0,0
catqos,46,26,1,1,21,0,0
bug_29931230_apply,58,0,0,1,1,0,0
bug_32567612_apply,58,0,0,1,2,0,0
dbmsplts,48,9,0,1,3,0,0
bug_31113455_apply,58,0,0,1,2,0,0
bug_29524043_apply,58,0,0,1,1,0,0
bug_29887840_apply,58,0,0,1,9,0,0
bug_30518114_apply,58,0,0,1,1,0,0
bug32506809_apply,57,0,0,1,5,0,0
bug-33344767_apply,58,0,0,1,0,0,0
cathive1,48,24,0,1,57,0,0
sdordfty,76284,7,0,1,3,61,0
catmdlocj,1272,0,0,1,1,1,1
dbmssts,47,1,0,1,0,0,0
bug_32012400_apply,58,0,0,1,3,0,0
bug_32258388_apply,58,0,0,1,3,0,0
catmacc,47,0,0,1,318,0,0
bug_32926653_apply,58,0,0,1,16,0,0
catcap,46,51,0,1,97,2,0
sdogeom,87875,0,1,1,0,209,0
bug_30865346_apply,58,0,0,1,2,0,0
bug_33648273_apply,58,0,0,1,2,0,0
could  not find MAIN: rdbms/admin/bug34113189.sql
bug_33270914_apply,58,0,0,1,1,0,0
bug_33313374_apply,58,0,0,1,1,0,0
catcheckviews,53,6,0,1,17,0,0
33955060_apply,4135,1,0,1,1,4,0
bug_34090927_apply,58,0,0,1,1,0,0
catschv,47,142,0,1,366,0,0
bug_28971177_apply,58,0,0,1,1,0,0
bug_32880490_apply,58,0,0,1,1,0,0
bug_33527739_apply,58,0,0,1,0,0,0
