Unnamed: 0,grants,size,packages,alters,commands,commits,time,md
1172,0,24,1,1,4,0,0.354,0
1173,0,16,1,1,3,0,0.357,0
1174,0,17,1,1,3,0,0.423,0
1175,0,113,14,14,16,0,0.43,0
1176,0,24,1,1,4,0,0.375,0
1177,0,9,1,1,1,0,0.345,0
1178,0,25,1,1,4,0,0.352,0
1179,0,8,0,0,2,0,0.344,0
1180,0,32,4,6,4,0,0.527,0
1181,0,24,3,4,4,0,0.402,0
1182,0,18,1,1,4,0,0.385,0
1183,0,32,4,6,4,0,0.419,0
1184,0,42,4,3,6,0,0.364,0
1185,0,41,3,2,4,0,0.984,0
1186,0,24,1,1,4,0,0.354,0
1187,0,122,2,2,3,0,0.354,0
1188,8,85,2,2,14,0,0.448,0
1189,4,80,7,10,10,0,0.595,0
1190,4,77,5,4,12,0,0.874,0
1191,15,177,5,7,23,0,0.73,0
1192,9,157,4,5,19,0,0.972,0
1193,0,24,3,4,4,0,0.419,0
1194,4,64,3,5,9,0,0.68,0
1195,58,850,33,42,122,0,5.647,0
1196,14,126,4,5,22,0,0.588,0
1197,1,56,5,7,8,0,1.073,0
1198,1,73,4,5,13,0,0.909,0
1199,2,56,5,0,10,0,0.486,0
1200,1,32,3,0,6,0,0.381,0
1201,0,17,1,0,3,0,0.351,0
1202,0,17,1,0,3,0,0.353,0
1203,0,16,1,0,3,0,0.357,0
1204,0,32,1,0,5,0,0.359,0
1205,0,12,2,0,2,0,0.373,0
1206,0,54,3,7,5,0,1.423,0
1207,1,20,1,0,4,0,0.45,0
1208,12,256,14,0,41,0,0.806,0
1209,0,52,4,0,7,0,0.355,0
1210,2,52,4,0,8,0,0.43,0
1211,2,26,2,0,6,0,0.384,0
1212,0,16,2,0,4,0,0.386,0
1213,0,16,1,0,3,0,0.35,0
1214,0,134,3,4,3,0,0.373,0
1215,0,17,2,0,4,0,0.5,0
1216,0,17,2,0,4,0,0.37,0
1217,1,28,2,0,5,0,0.383,0
1218,1,20,1,0,4,0,0.361,0
1219,2,64,1,0,10,0,0.497,0
1220,2,40,3,0,7,0,0.481,0
1221,0,16,1,0,3,0,0.348,0
1222,0,16,1,0,3,0,0.35,0
1223,0,25,2,0,4,0,0.347,0
1224,0,20,2,3,3,0,0.369,0
1225,0,17,1,1,3,0,0.345,0
1226,2,32,2,0,6,0,0.418,0
1227,0,12,1,0,3,0,0.655,0
1228,1,20,1,0,4,0,0.403,0
1229,1,36,1,0,6,0,0.362,0
1230,2,32,1,0,6,0,0.385,0
1231,0,16,1,0,3,0,0.349,0
1232,1,16,1,0,4,0,0.37,0
1233,1,20,1,0,4,0,0.353,0
1234,1,20,1,0,4,0,0.376,0
1235,1,28,1,0,5,0,0.373,0
1236,1,20,1,0,4,0,0.359,0
1237,0,25,1,1,4,0,0.355,0
1238,0,16,1,0,3,0,0.343,0
1239,1,16,1,0,4,0,0.376,0
1240,1,24,1,0,5,0,0.678,0
1241,1,20,1,0,4,0,0.353,0
1242,1,20,1,0,4,0,0.357,0
1243,12,104,1,0,25,0,0.552,0
1244,0,40,3,0,6,0,0.357,0
1245,0,16,1,0,3,0,0.344,0
1246,0,64,7,0,9,0,0.759,0
1247,1,36,2,0,6,0,0.393,0
1248,0,24,2,0,4,0,0.359,0
1249,0,24,2,2,4,0,0.35,0
1250,1,20,1,0,4,0,0.354,0
1251,16,352,7,4,64,1,2.2,0
1252,2,49,3,0,9,0,0.466,0
1253,1,20,1,0,4,0,0.406,0
1254,0,16,1,0,3,0,0.346,0
1255,2,75,6,0,12,0,0.515,0
1256,0,33,2,0,5,0,0.357,0
1257,0,16,1,1,3,0,0.35,0
1258,0,16,1,0,3,0,0.348,0
